{{500,  10  , 20   , 30   , 40   , 50  ,  60   , 70   , 80   , 90   , 100  , 110  , 120  , 130  , 140,   150}, 
{0   , 500.1,  10  ,  20  ,  30  ,  40 ,   50  ,  60  ,  70  ,  80  ,  90  ,  100 ,  110 ,  120 ,  130,   140}, 
{0   ,  0   ,500.2 ,  10  ,  20  ,  30 ,   40  ,  50  ,  60  ,  70  ,  80  ,  90  ,  100 ,  110 ,  120,   130}, 
{0   ,  0   , 0    ,500.3 ,  10  ,  20 ,   30  ,  40  ,  50  ,  60  ,  70  ,  80  ,  90  ,  100 ,  110,   120}, 
{0   ,  0   , 0    ,0    ,500.4 ,  10 ,   10  ,  30  ,  40  ,  50  ,  60  ,  70  ,  80  ,  90  ,  100,   110}, 
{0   ,  0   , 0    , 0    , 0    ,500.5,   20  ,  20  ,  30  ,  40  ,  50  ,  60  ,  70  ,  80  ,  90,   100}, 
{0   ,  0   , 0    , 0    , 0    , 0   , 500.6 ,  10  ,  20  ,  30  ,  40  ,  50  ,  60  ,  70  ,  80,    90}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    ,500.7 ,  10  ,  20  ,  30  ,  40  ,  50  ,  60  ,  70,    80}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 500.8,  10 ,   20 ,   30 ,   40 ,   50 ,   60,    70}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 500.9,   10 ,   20 ,   30 ,   40 ,   50 ,   60}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 0    , 501  , 10   , 20   , 30   , 40  ,  50}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 0    , 0    , 501.1,   10 ,   20 ,   30 ,   40}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 0    , 0    , 0    , 501.2,   10   , 20  ,  30}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 0    , 0    , 0    , 0    , 501.3 ,  10   , 20}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 0    , 0    , 0    , 0    , 0    , 501.4 ,  10}, 
{0   ,  0   , 0    , 0    , 0    , 0   ,  0    , 0    , 0    , 0    , 0    , 0    , 0    , 0  ,   0    , 501.5}}
